word;polarity_n0;polarity_n1
aventurado;POL:N0=0;
aventureiro;POL:N0=0;
aventuroso;POL:N0=0;
averiguador;POL:N0=0;
avermelhado;POL:N0=0;
averroísta;POL:N0=0;
averso;POL:N0=-1;
avesso;POL:N0=-1;
ávido;POL:N0=-1;
aviltado;POL:N0=-1;
aviltador;POL:N0=-1;
aviltante;POL:N0=-1;
avinagrado;POL:N0=-1;
avinhado;POL:N0=-1;
avisado;POL:N0=1;
avulso;POL:N0=-1;
azafamado;POL:N0=-1;
azambrado;POL:N0=-1;
azar;POL:N0=-1;
azarado;POL:N0=-1;
azarento;POL:N0=-1;
azedar;POL:N0=-1;
azedo;POL:N0=-1;
azedume;POL:N0=-1;
azeiteiro;POL:N0=-1;
azelha;POL:N0=-1;
azelhice;POL:N0=-1;
azoinante;POL:N0=-1;
azougado;POL:N0=-1;
babaca;POL:N0=-1;
babão;POL:N0=-1;
babilónico;POL:N0=-1;
baboseira;POL:N0=-1;
babosice;POL:N0=-1;
baboso;POL:N0=-1;
bacano;POL:N0=1;
baço para espelho;POL:N0=-1;
bacoco;POL:N0=-1;
baconiano;POL:N0=0;
bacoquice;POL:N0=-1;
badalhoco;POL:N0=-1;
badalhoquice;POL:N0=-1;
bagaceiro;POL:N0=-1;
bagunceiro;POL:N0=-1;
bairrista;POL:N0=0;
baixeza;POL:N0=-1;
baixote;POL:N0=-1;
bajulador;POL:N0=-1;
bajular;POL:N0=-1;POL:N1=0
balbuciante;POL:N0=-1;
balofice;POL:N0=-1;
balofo;POL:N0=-1;
bambo;POL:N0=-1;
banal;POL:N0=-1;
banalidade;POL:N0=-1;
banalizar;POL:N0=-1;POL:N1=0
banana;POL:N0=-1;
bancarrota;POL:N0=-1;
bandido;POL:N0=-1;
banditismo;POL:N0=-1;
banhado;POL:N0=0;
banido;POL:N0=-1;
banir;POL:N0=1;POL:N1=-1
banzado;POL:N0=-1;
barafustar;POL:N0=0;POL:N1=-1
baralhado;POL:N0=-1;
baralhar-se;POL:N0=-1;
baralhar;POL:N0=0;POL:N1=-1
barateiro;POL:N0=0;
barato;POL:N0=-1;
barbado;POL:N0=0;
barbaridade;POL:N0=-1;
bárbaro;POL:N0=-1;
barbeado;POL:N0=0;
barbilongo;POL:N0=0;
barbudo;POL:N0=0;
barrado;POL:N0=-1;
barraqueiro;POL:N0=-1;
barrigana;POL:N0=-1;
barrigudo;POL:N0=-1;
barroco;POL:N0=-1;
barulhento;POL:N0=-1;
baselga;POL:N0=-1;
básico;POL:N0=-1;
bastardo;POL:N0=-1;
basto;POL:N0=0;
batalhador;POL:N0=1;
batalhante;POL:N0=1;
batalhar;POL:N0=1;
batateiro;POL:N0=0;
batatudo;POL:N0=-1;
bater a bota;POL:N0=-1;
bater as botas;POL:N0=-1;
bater com o nariz na porta;POL:N0=-1;
bater no ceguinho;POL:N0=-1;
bater no fundo;POL:N0=-1;
bater;POL:N0=1;POL:N1=-1
batido;POL:N0=-1;
batota;POL:N0=-1;
batoteiro;POL:N0=-1;
batotice;POL:N0=-1;
bazófia;POL:N0=-1;
bazófio;POL:N0=-1;
beatice;POL:N0=-1;
beato;POL:N0=-1;
bêbado;POL:N0=-1;
bebedeira;POL:N0=-1;
bêbedo;POL:N0=-1;
bebedor;POL:N0=-1;
beberrão;POL:N0=-1;
bebido;POL:N0=-1;
bebum;POL:N0=-1;
beiçudo;POL:N0=-1;
beijoqueiro;POL:N0=0;
beleza;POL:N0=1;
belfo;POL:N0=-1;
belicismo;POL:N0=-1;
belicista;POL:N0=-1;
bélico;POL:N0=-1;
belicoso;POL:N0=-1;
belo;POL:N0=1;
bem ataviado;POL:N0=0;
bem constituído;POL:N0=0;
bem disposto;POL:N0=1;
bem mandado;POL:N0=-1;
bem vestido;POL:N0=1;
bem-amado;POL:N0=1;
bem-apessoado;POL:N0=1;
bem-aventurado;POL:N0=1;
bem-colocado;POL:N0=1;
bem-comportado;POL:N0=1;
bem-criado;POL:N0=1;
bem-educado;POL:N0=1;
bem-encarado;POL:N0=1;
bem-falante;POL:N0=1;
bem-formado;POL:N0=1;
bem-humorado;POL:N0=1;
bem-intencionado;POL:N0=1;
bem-mandado;POL:N0=0;
bem-pago;POL:N0=0;
bem-parecido;POL:N0=1;
bem-pensante;POL:N0=1;
bem-posto;POL:N0=1;
bem-sucedido;POL:N0=1;
bem-vindo;POL:N0=1;
bendito;POL:N0=1;
beneditino;POL:N0=0;
beneficiado;POL:N0=0;
benéfico;POL:N0=1;
benemerência;POL:N0=1;
benemérito;POL:N0=1;
benevolência;POL:N0=1;
benevolente;POL:N0=1;
benévolo;POL:N0=1;
benêvolo;POL:N0=1;
benfazejo;POL:N0=1;
benfeitor;POL:N0=1;
benfeitoria;POL:N0=1;
benfiquista;POL:N0=0;
benignidade;POL:N0=1;
benigno;POL:N0=1;
benquisto;POL:N0=1;
bera;POL:N0=-1;
besta;POL:N0=-1;
bestial;POL:N0=0;
bestialidade;POL:N0=1;
bestificado;POL:N0=-1;
bexiguento;POL:N0=-1;
bibliomania;POL:N0=-1;
bibliómano;POL:N0=0;
bígamo;POL:N0=0;
bilingue;POL:N0=0;
bilioso;POL:N0=-1;
biltre;POL:N0=-1;
bimbo;POL:N0=-1;
biqueiro;POL:N0=-1;
bira;POL:N0=-1;
birra;POL:N0=-1;
birrento;POL:N0=-1;
biruta;POL:N0=-1;
bisbilhotar;POL:N0=-1;POL:N1=0
bisbilhoteiro;POL:N0=-1;
bisbilhotice;POL:N0=-1;
bisonho;POL:N0=-1;
bissexual;POL:N0=0;
bizarria;POL:N0=-1;
bizarro;POL:N0=-1;
blasfemador;POL:N0=-1;
blasfémia;POL:N0=-1;
blasfemo;POL:N0=-1;
blindado;POL:N0=0;
bloqueado;POL:N0=-1;
bloquear;POL:N0=-1;
boa apresentação;POL:N0=1;
boa criação;POL:N0=1;
boa disposição;POL:N0=1;
boa educação;POL:N0=1;
boa formação;POL:N0=1;
boa parecença;POL:N0=1;
boa performance;POL:N0=1;
boas intenções;POL:N0=1;
boateiro;POL:N0=-1;
bobo;POL:N0=-1;
boboca;POL:N0=-1;
boçal;POL:N0=-1;
bocejar;POL:N0=-1;
bochechudo;POL:N0=-1;
bocó;POL:N0=-1;
boêmio;POL:N0=-1;
boémio;POL:N0=-1;
bojudo;POL:N0=-1;
bolachudo;POL:N0=-1;
bolchevique;POL:N0=0;
bolchevista;POL:N0=0;
bolorento;POL:N0=-1;
bom aluno;POL:N0=1;
bom cheiro;POL:N0=1;
bom comportamento;POL:N0=1;
bom desempenho;POL:N0=1;
bom humor;POL:N0=1;
bom-samaritano;POL:N0=1;
bom;POL:N0=1;
bombardear;POL:N0=1;POL:N1=-1
bombeado;POL:N0=-1;
bonacheirão;POL:N0=0;
bonacheiro;POL:N0=0;
bonapartista;POL:N0=0;
bondade;POL:N0=1;
bondoso;POL:N0=1;
boniteza;POL:N0=1;
bonito;POL:N0=1;
borbulhento;POL:N0=-1;
borguista;POL:N0=-1;
borrachudo;POL:N0=-1;
borrado;POL:N0=-1;
borralheiro;POL:N0=0;
boto;POL:N0=-1;
botocudo;POL:N0=-1;
brabo;POL:N0=0;
braçal;POL:N0=0;
braceiro;POL:N0=1;
brando;POL:N0=0;
bravateador;POL:N0=-1;
bravo;POL:N0=0;
bravura;POL:N0=1;
brega;POL:N0=-1;
brejeirice;POL:N0=-1;
brejeiro;POL:N0=-1;
brejeirote;POL:N0=-1;
briga;POL:N0=-1;
brigador;POL:N0=-1;
brigante;POL:N0=-1;
brigão;POL:N0=-1;
briguento;POL:N0=-1;
brilhante;POL:N0=1;
brilhar;POL:N0=1;
brilharete;POL:N0=-1;
brilho;POL:N0=1;
brincalhão;POL:N0=0;
brincar;POL:N0=-1;POL:N1=0
brio;POL:N0=1;
briosidade;POL:N0=1;
brioso;POL:N0=1;
broeiro;POL:N0=0;
bronco;POL:N0=-1;
bronquice;POL:N0=-1;
bronzeado;POL:N0=0;
brônzeo;POL:N0=0;
brotado;POL:N0=0;
brunido;POL:N0=0;
bruno;POL:N0=-1;
brusco;POL:N0=-1;
brutal;POL:N0=-1;
brutalidade;POL:N0=-1;
brutidão;POL:N0=-1;
bruto;POL:N0=-1;
bruxaria;POL:N0=-1;
bucha;POL:N0=-1;
bucólico;POL:N0=0;
budista;POL:N0=0;
bufismo;POL:N0=-1;
bufo;POL:N0=-1;
bulhão;POL:N0=-1;
bulhento;POL:N0=-1;
bulício;POL:N0=-1;
buliçoso;POL:N0=-1;
burguês;POL:N0=-1;
burla;POL:N0=-1;
burlado;POL:N0=-1;
burlador;POL:N0=-1;
burlão;POL:N0=-1;
burlesco;POL:N0=-1;
burlista;POL:N0=-1;
burocrático;POL:N0=0;
burrice;POL:N0=-1;
burro;POL:N0=-1;
cabazada;POL:N0=-1;
cabeça dura;POL:N0=-1;
cabeçudo;POL:N0=-1;
cabeludo;POL:N0=0;
cabisbaixo;POL:N0=-1;
caboclo;POL:N0=-1;
cabotino;POL:N0=-1;
cabralino;POL:N0=0;
cabrão;POL:N0=-1;
cábula;POL:N0=-1;
caçado;POL:N0=-1;
cacete;POL:N0=-1;
caceteiro;POL:N0=-1;
cachaceiro;POL:N0=-1;
cadastrado;POL:N0=-1;
cadavérico;POL:N0=-1;
cadaveroso;POL:N0=-1;
cadente;POL:N0=-1;
caduco;POL:N0=-1;
cafona;POL:N0=-1;
cafuzo;POL:N0=0;
cagão;POL:N0=-1;
cagar-se;POL:N0=-1;
cagarola;POL:N0=-1;
cagativo;POL:N0=-1;
caguinchas;POL:N0=-1;
caído;POL:N0=-1;
caipira;POL:N0=-1;
cair na armadilha;POL:N0=-1;
cair na boca do lobo;POL:N0=-1;
cair na ratoeira;POL:N0=-1;
cair por terra;POL:N0=-1;
cair;POL:N0=-1;
calaceiro;POL:N0=-1;
calado;POL:N0=0;
calão;POL:N0=-1;
calar a boca;POL:N0=-1;
calar o bico;POL:N0=-1;
calar-se;POL:N0=-1;
calar;POL:N0=1;POL:N1=-1
calcado;POL:N0=-1;
calculismo;POL:N0=-1;
calculista;POL:N0=-1;
calejado;POL:N0=0;
calhandreiro;POL:N0=-1;
calhandrice;POL:N0=-1;
calhorda;POL:N0=-1;
cálido;POL:N0=0;
calino;POL:N0=-1;
calipígio;POL:N0=1;
calma;POL:N0=1;
calmante;POL:N0=1;
calmo;POL:N0=1;
caloroso;POL:N0=1;
caloteirismo;POL:N0=-1;
caloteiro;POL:N0=-1;
calotismo;POL:N0=-1;
calúnia;POL:N0=-1;
caluniado;POL:N0=-1;
caluniador;POL:N0=-1;
caluniar;POL:N0=-1;POL:N1=0
cambada;POL:N0=-1;
cambaleante;POL:N0=-1;
cambalear;POL:N0=-1;
camelo;POL:N0=-1;
camoniano;POL:N0=0;
campónio;POL:N0=-1;
canalha;POL:N0=-1;
canalhice;POL:N0=-1;
canceroso;POL:N0=-1;
cancro;POL:N0=-1;
cândido;POL:N0=0;
candongueiro;POL:N0=-1;
candonguice;POL:N0=-1;
cangalheiro;POL:N0=-1;
canhestro;POL:N0=-1;
canibal;POL:N0=-1;
canino;POL:N0=-1;
canonizado;POL:N0=0;
cansado;POL:N0=-1;
cansativo;POL:N0=-1;
cantar bem mas não me alegra;POL:N0=-1;
cantar de galo;POL:N0=-1;
cantar vitória antes do tempo;POL:N0=-1;
caótico;POL:N0=-1;
capacitado;POL:N0=1;
capaz;POL:N0=1;
capcioso;POL:N0=-1;
capenga;POL:N0=-1;
capitoso;POL:N0=-1;
capricho;POL:N0=-1;
caprichoso;POL:N0=-1;
captar eleitorado;POL:N0=1;
caquéctico;POL:N0=-1;
caquético;POL:N0=-1;
caquexia;POL:N0=-1;
cara de cu;POL:N0=-1;
cara de pau;POL:N0=-1;
caralho;POL:N0=-1;
caramuleiro;POL:N0=0;
carapaça;POL:N0=-1;
caraterístico;POL:N0=0;
carbonizado;POL:N0=-1;
carcomido;POL:N0=-1;
carecer;POL:N0=-1;POL:N1=0
carecido;POL:N0=-1;
careiro;POL:N0=-1;
carência;POL:N0=-1;
carenciado;POL:N0=-1;
carente;POL:N0=-1;
caricato;POL:N0=-1;
caricioso;POL:N0=1;
caridoso;POL:N0=1;
carinho;POL:N0=1;
carinhoso;POL:N0=1;
carisma;POL:N0=1;
carismático;POL:N0=1;
caritativo;POL:N0=1;
carnal;POL:N0=0;
carnavalesco;POL:N0=-1;
carniceiro;POL:N0=-1;
carola;POL:N0=1;
carrancudo;POL:N0=-1;
casadeiro;POL:N0=0;
casamenteiro;POL:N0=0;
caseiro;POL:N0=0;
casmurrice;POL:N0=-1;
casmurro;POL:N0=-1;
casquilho;POL:N0=-1;
cassete;POL:N0=-1;
castiço;POL:N0=1;
castigado;POL:N0=-1;
castigador;POL:N0=-1;
castigar;POL:N0=1;POL:N1=-1
casto;POL:N0=1;
castração;POL:N0=-1;
castrador;POL:N0=-1;
castrar;POL:N0=1;POL:N1=-1
catalepsia;POL:N0=-1;
catano;POL:N0=-1;
cataplexia;POL:N0=-1;
catarro;POL:N0=-1;
catastrófico;POL:N0=-1;
catatonia;POL:N0=-1;
categórico;POL:N0=1;
catinguento;POL:N0=-1;
catita;POL:N0=0;
cativante;POL:N0=1;
cativar;POL:N0=1;POL:N1=0
cativo;POL:N0=-1;
católico;POL:N0=0;
caturra;POL:N0=-1;
caturrice;POL:N0=-1;
caudaloso;POL:N0=0;
causador;POL:N0=-1;
causticação;POL:N0=-1;
causticante;POL:N0=-1;
causticidade;POL:N0=-1;
cáustico;POL:N0=-1;
cauteloso;POL:N0=1;
cauto;POL:N0=1;
cavalheiresco;POL:N0=1;
cavalheirismo;POL:N0=1;
cavalheiro;POL:N0=1;
cavaqueador;POL:N0=0;
cavaquista;POL:N0=0;
cavernícola;POL:N0=-1;
cavernoso;POL:N0=-1;
caviloso;POL:N0=-1;
ceder;POL:N0=-1;POL:N1=1
cego;POL:N0=-1;
cegueira;POL:N0=-1;
cegueta;POL:N0=-1;
celebrado;POL:N0=0;
célebre;POL:N0=1;
celerado;POL:N0=-1;
celestial;POL:N0=1;
censurado;POL:N0=-1;
censurador;POL:N0=0;
censurar;POL:N0=0;POL:N1=-1
centralizador;POL:N0=0;
cepo;POL:N0=-1;
céptico;POL:N0=0;
cercado;POL:N0=-1;
cerebral;POL:N0=0;
cerebrino;POL:N0=0;
cerimonial;POL:N0=0;
cerimonioso;POL:N0=0;
cerrado;POL:N0=0;
certeiro;POL:N0=1;
certificado;POL:N0=1;
certo nas contas;POL:N0=1;
certo;POL:N0=1;
cético;POL:N0=0;
chalaceiro;POL:N0=-1;
chalado;POL:N0=-1;
chamado;POL:N0=0;
chamar nomes a;POL:N0=0;POL:N1=-1
chamar os bois pelos nomes;POL:N0=1;
chamativo;POL:N0=1;
chamuscado;POL:N0=-1;
chanfrado;POL:N0=-1;
chantagista;POL:N0=-1;
charlatanice;POL:N0=-1;
charlatão;POL:N0=-1;
charme;POL:N0=1;
charmoso;POL:N0=1;
chateado;POL:N0=-1;
chatear;POL:N0=0;POL:N1=-1
chatice;POL:N0=-1;
chato;POL:N0=-1;
chauvinismo;POL:N0=-1;
chauvinista;POL:N0=-1;
chavão;POL:N0=-1;
cheio de nove horas;POL:N0=-1;
cheirar a mofo;POL:N0=-1;
cheiroso;POL:N0=1;
chibante;POL:N0=-1;
chicaneiro;POL:N0=-1;
chico esperto;POL:N0=-1;
chicoteador;POL:N0=-1;
chifrudo;POL:N0=-1;
chinesada;POL:N0=-1;
chinesice;POL:N0=-1;
chinfrim;POL:N0=-1;
chinfrim;POL:N0=-1;
chinfrineiro;POL:N0=-1;
chique;POL:N0=1;
chistoso;POL:N0=0;
chocalheiro;POL:N0=-1;
chocar;POL:N0=-1;POL:N1=0
chocarreiro;POL:N0=-1;
chochice;POL:N0=-1;
chocho;POL:N0=-1;
choco;POL:N0=-1;
choné;POL:N0=-1;
choramingão;POL:N0=-1;
choramingar;POL:N0=-1;
choramingas;POL:N0=-1;
chorão;POL:N0=-1;
chorar sobre o leite derramado;POL:N0=-1;
chorar;POL:N0=-1;
choroso;POL:N0=-1;
chulo;POL:N0=-1;
chumbado;POL:N0=-1;
chumbar;POL:N0=-1;
chunga;POL:N0=-1;
chupado;POL:N0=-1;
chupador;POL:N0=-1;
chupismo;POL:N0=-1;
chupista;POL:N0=-1;
ciceroniano;POL:N0=0;
ciente;POL:N0=1;
cigano;POL:N0=-1;
cilindrado;POL:N0=-1;
cilíndrico;POL:N0=-1;
cinéfilo;POL:N0=0;
cínico;POL:N0=-1;
cinza;POL:N0=0;
cinzento;POL:N0=0;
cioso;POL:N0=-1;
circuncidado;POL:N0=0;
circunciso;POL:N0=0;
circunspecto;POL:N0=1;
circunstancial;POL:N0=0;
circunstante;POL:N0=0;
cisma;POL:N0=-1;
cismado;POL:N0=-1;
cismático;POL:N0=-1;
cisterciense;POL:N0=0;
citadino;POL:N0=0;
ciúme;POL:N0=-1;
ciumento;POL:N0=-1;
cívico;POL:N0=1;
civilista;POL:N0=0;
civilizado;POL:N0=1;
clamoroso;POL:N0=-1;
clandestino;POL:N0=-1;
clarificado;POL:N0=0;
clarificador;POL:N0=1;
clarista;POL:N0=0;
clarividência;POL:N0=1;
clarividente;POL:N0=1;
claudicante;POL:N0=-1;
claustrofobia;POL:N0=-1;
clemência;POL:N0=1;
clemente;POL:N0=1;
cleptomania;POL:N0=-1;
cleptomaníaco;POL:N0=-1;
cleptómano;POL:N0=-1;
coagido;POL:N0=-1;
coagir;POL:N0=-1;POL:N1=0
coartado;POL:N0=-1;
cobarde;POL:N0=-1;
cobardia;POL:N0=-1;
cobardola;POL:N0=-1;
cobiça;POL:N0=-1;
cobiçado;POL:N0=0;
cobiçoso;POL:N0=-1;
cocainomania;POL:N0=-1;
cocainómano;POL:N0=-1;
codificado;POL:N0=0;
coercivo;POL:N0=-1;
coerência;POL:N0=1;
coerente;POL:N0=1;
coeso;POL:N0=1;
cogitabundo;POL:N0=-1;
cogitação;POL:N0=-1;
cogitativo;POL:N0=-1;
cognominado;POL:N0=0;
coio;POL:N0=-1;
coitado;POL:N0=-1;
colaboracionista;POL:N0=-1;
colapso;POL:N0=-1;
cólera;POL:N0=-1;
colérico;POL:N0=-1;
colocado;POL:N0=0;
colocar o dedo na ferida;POL:N0=1;
colonialista;POL:N0=0;
coloquial;POL:N0=0;
colossal;POL:N0=0;
comandita;POL:N0=-1;
combalido;POL:N0=-1;
combalimento;POL:N0=-1;
combatente;POL:N0=0;
combater o desemprego;POL:N0=1;
combativo;POL:N0=0;
comédia;POL:N0=-1;
comedido;POL:N0=1;
comedor;POL:N0=-1;
comer gato por lebre;POL:N0=-1;
comer o pão que o diabo amassou;POL:N0=-1;
comezinho;POL:N0=0;
comichento;POL:N0=-1;
comichoso;POL:N0=-1;
cómico;POL:N0=0;
comilão;POL:N0=-1;
comodismo;POL:N0=-1;
comodista;POL:N0=-1;
comovente;POL:N0=0;
compactuar;POL:N0=-1;POL:N1=-1
comparsa;POL:N0=-1;
compassivo;POL:N0=1;
compelido;POL:N0=-1;
compelir;POL:N0=-1;POL:N1=0
compenetrado;POL:N0=0;
competência;POL:N0=1;
competente;POL:N0=1;
competitivo;POL:N0=0;
compincha;POL:N0=1;
complacência;POL:N0=1;
complacente;POL:N0=1;
complexado;POL:N0=-1;
complicado;POL:N0=-1;
complicar a vida a;POL:N0=1;POL:N1=-1
composto;POL:N0=1;
comprado;POL:N0=-1;
comprar gato por lebre;POL:N0=-1;
compreensão;POL:N0=1;
compreensível;POL:N0=1;
compreensivo;POL:N0=1;
comprometedor;POL:N0=-1;
comprometido;POL:N0=0;
compromissado;POL:N0=0;
compulsivo;POL:N0=-1;
compungido;POL:N0=-1;
comuna;POL:N0=-1;
comunicativo;POL:N0=1;
conceituado;POL:N0=1;
conceituoso;POL:N0=-1;
concertado;POL:N0=1;
conciliador;POL:N0=1;
conciso;POL:N0=1;
concordante;POL:N0=1;
concreto;POL:N0=1;
concupiscente;POL:N0=0;
condenado;POL:N0=-1;
condenar;POL:N0=0;POL:N1=-1
condenável;POL:N0=-1;
condescendência;POL:N0=-1;
condescendente;POL:N0=0;
condicionado;POL:N0=0;
condoído;POL:N0=-1;
condoreiro;POL:N0=-1;
confiado;POL:N0=0;
confiança;POL:N0=1;
confiante;POL:N0=1;
confiar;POL:N0=0;POL:N1=1
confiável;POL:N0=1;
confinado;POL:N0=0;
conflituosidade;POL:N0=-1;
conflituoso;POL:N0=-1;
conformado;POL:N0=-1;
conformar-se;POL:N0=-1;
conformista;POL:N0=-1;
confortador;POL:N0=1;
confortante;POL:N0=1;
confortável;POL:N0=0;
confrangedor;POL:N0=-1;
confranger-se;POL:N0=-1;
confrontar;POL:N0=1;POL:N1=-1
confundido;POL:N0=-1;
confundir alhos com bugalhos;POL:N0=-1;
confundir-se;POL:N0=-1;
confundir;POL:N0=0;POL:N1=-1
confusão;POL:N0=-1;
confuso;POL:N0=-1;
congelado;POL:N0=-1;
congestão;POL:N0=-1;
congestionado;POL:N0=-1;
congratular;POL:N0=0;POL:N1=1
congruência;POL:N0=1;
congruente;POL:N0=1;
conhecedor;POL:N0=1;
conivente;POL:N0=-1;
conluiado;POL:N0=-1;
conquistador;POL:N0=0;
conquistar terreno a;POL:N0=1;POL:N1=-1
conquistar;POL:N0=1;POL:N1=0
consagrado;POL:N0=1;
consciência;POL:N0=1;
consciencial;POL:N0=0;
consciencioso;POL:N0=1;
consciente;POL:N0=1;
cônscio;POL:N0=1;
conseguir um grande feito;POL:N0=1;
consentâneo;POL:N0=1;
consequente;POL:N0=1;
consertado;POL:N0=1;
conservado;POL:N0=1;
conservador;POL:N0=0;
considerativo;POL:N0=1;
consistente;POL:N0=1;
consolado;POL:N0=0;
conspicuidade;POL:N0=1;
conspícuo;POL:N0=1;
conspiração;POL:N0=-1;
conspirador;POL:N0=-1;
conspirativo;POL:N0=-1;
conspurcar;POL:N0=-1;POL:N1=0
constante;POL:N0=1;
consternação;POL:N0=-1;
consternado;POL:N0=-1;
consternador;POL:N0=-1;
consternar;POL:N0=-1;POL:N1=0
constipado;POL:N0=-1;
constitutivo;POL:N0=0;
constrangedor;POL:N0=-1;
constranger;POL:N0=-1;POL:N1=0
constrangido;POL:N0=-1;
constrangimento;POL:N0=-1;
construtivo;POL:N0=1;
consumado;POL:N0=1;
consumido;POL:N0=-1;
consumir-se;POL:N0=-1;
consumista;POL:N0=-1;
contactável;POL:N0=0;
contagiado;POL:N0=-1;
contagioso;POL:N0=-1;
contaminar;POL:N0=-1;POL:N1=-1
contemplador;POL:N0=0;
contemplativo;POL:N0=0;
contemporizador;POL:N0=0;
contemporizante;POL:N0=0;
contendedor;POL:N0=-1;
contendente;POL:N0=-1;
contentar-se com pouco;POL:N0=-1;
contente;POL:N0=1;
contestado;POL:N0=-1;
contestar;POL:N0=0;POL:N1=-1
contido;POL:N0=-1;
contingente;POL:N0=-1;
contorcer-se;POL:N0=-1;
contracto;POL:N0=-1;
contradizer-se;POL:N0=-1;
contraído;POL:N0=-1;
contrair-se;POL:N0=-1;
contranaturo;POL:N0=-1;
contrapor;POL:N0=1;POL:N1=-1
contrariado;POL:N0=-1;
contrariar;POL:N0=1;POL:N1=-1
contribuidor;POL:N0=0;
contristação;POL:N0=-1;
contristado;POL:N0=-1;
contrito;POL:N0=-1;
controlado;POL:N0=1;
controlador;POL:N0=-1;
controlar;POL:N0=1;POL:N1=-1
controvérsia;POL:N0=-1;
controverso;POL:N0=-1;
controvertido;POL:N0=-1;
contumaz;POL:N0=-1;
contundência;POL:N0=-1;
contundente;POL:N0=-1;
contundido;POL:N0=-1;
contuso;POL:N0=-1;
convencido;POL:N0=0;
conversa fiada;POL:N0=1;
conversadeiro;POL:N0=0;
conversador;POL:N0=0;
convertido;POL:N0=0;
convicção;POL:N0=1;
convicto;POL:N0=0;
convidativo;POL:N0=1;
convincente;POL:N0=1;
convivente;POL:N0=1;
convulsivo;POL:N0=-1;
cooperador;POL:N0=1;
cooperante;POL:N0=1;
cooperativista;POL:N0=0;
coquete;POL:N0=-1;
corado;POL:N0=0;
coragem;POL:N0=1;
corajoso;POL:N0=1;
corcovado;POL:N0=-1;
corcunda;POL:N0=-1;
cordato;POL:N0=1;
cordeiro;POL:N0=0;
cordial;POL:N0=1;
cordialidade;POL:N0=1;
cornudo;POL:N0=-1;
cornuto;POL:N0=-1;
corporativista;POL:N0=0;
corpulento;POL:N0=0;
correção;POL:N0=1;
correcção;POL:N0=1;
correcto;POL:N0=1;
correr a toque de caixa;POL:N0=-1;
correto;POL:N0=1;
corrido;POL:N0=-1;
corrigir;POL:N0=1;POL:N1=-1
corriqueiro;POL:N0=-1;
corroer-se;POL:N0=-1;POL:N1=-1
corroer;POL:N0=-1;POL:N1=0
corromper;POL:N0=-1;POL:N1=-1
corrompido;POL:N0=-1;
corrosivo;POL:N0=-1;
corrupção;POL:N0=-1;
corruptível;POL:N0=-1;
corruptivo;POL:N0=-1;
corrupto;POL:N0=-1;
corruptor;POL:N0=-1;
cortado;POL:N0=-1;
cortar na casaca de;POL:N0=-1;POL:N1=0
cortar o pio a;POL:N0=1;POL:N1=-1
cortejado;POL:N0=0;
cortês;POL:N0=1;
cortesão;POL:N0=1;
cortesia;POL:N0=1;
coruja;POL:N0=0;
coscuvilheiro;POL:N0=-1;
cósmico;POL:N0=0;
cosmopolita;POL:N0=1;
cosmopolítico;POL:N0=1;
cotado;POL:N0=1;
covarde;POL:N0=-1;
covardia;POL:N0=-1;
coveiro;POL:N0=-1;
coxo;POL:N0=-1;
crápula;POL:N0=-1;
crapuloso;POL:N0=-1;
craque;POL:N0=1;
crasso;POL:N0=-1;
credibilidade;POL:N0=1;
credível;POL:N0=1;
crédulo;POL:N0=0;
crente;POL:N0=0;
crescido;POL:N0=1;
crescidote;POL:N0=0;
cretinice;POL:N0=-1;
cretinismo;POL:N0=-1;
cretino;POL:N0=-1;
cretinóide;POL:N0=-1;
criacionista;POL:N0=0;
criancice;POL:N0=-1;
criatividade;POL:N0=1;
criativo;POL:N0=1;
criminalidade;POL:N0=-1;
criminoso;POL:N0=-1;
crisólogo;POL:N0=1;
crisóstomo;POL:N0=1;
crispação;POL:N0=-1;
crispado;POL:N0=-1;
crispar-se;POL:N0=-1;
crispar;POL:N0=1;POL:N1=-1
cristalino;POL:N0=1;
cristão;POL:N0=0;
criterioso;POL:N0=1;
criticar;POL:N0=0;POL:N1=-1
criticável;POL:N0=-1;
crítico;POL:N0=0;
crivado;POL:N0=-1;
crível;POL:N0=1;
cromo;POL:N0=-1;
crônico;POL:N0=0;
cru;POL:N0=-1;
crucial;POL:N0=0;
crucificador;POL:N0=-1;
crucificar;POL:N0=1;POL:N1=-1
cruel;POL:N0=-1;
crueldade ;POL:N0=-1;
crueza;POL:N0=-1;
cruzar os braços;POL:N0=-1;
cuidado;POL:N0=1;
cuidadoso;POL:N0=1;
culpa;POL:N0=-1;
culpabilizar;POL:N0=0;POL:N1=-1
culpado;POL:N0=-1;
culpar;POL:N0=0;POL:N1=-1
culpas;POL:N0=-1;
culposo;POL:N0=-1;
cultivado;POL:N0=1;
culto;POL:N0=1;
cultura democrática;POL:N0=1;
cúmplice;POL:N0=0;
cumpridor;POL:N0=1;
curado;POL:N0=1;
curativo;POL:N0=0;
curial;POL:N0=1;
curioso;POL:N0=0;
curtido;POL:N0=1;
curto de vistas;POL:N0=-1;
curto;POL:N0=0;
curvado;POL:N0=-1;
curvar-se;POL:N0=-1;POL:N1=1
curvilíneo;POL:N0=-1;
curvo;POL:N0=-1;
cuspido;POL:N0=-1;
custoso;POL:N0=0;
dadivoso;POL:N0=1;
dado;POL:N0=0;
daltónico;POL:N0=-1;
danado;POL:N0=-1;
danificado;POL:N0=-1;
danoso;POL:N0=-1;
