word,part_of_speech,target,polarity_n0,polarity_n1,anotation
colocar o dedo na ferida,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
colonialista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
coloquial,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
colossal,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
comandita,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
combalido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
combalimento,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
combatente,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
combater o desemprego,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
combativo,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
comédia,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comedido,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
comedor,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comer gato por lebre,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comer o pão que o diabo amassou,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comezinho,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
comichento,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comichoso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cómico,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
comilão,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comodismo,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comodista,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comovente,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
compactuar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=-1,ANOT=MAN
comparsa,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
compassivo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
compelido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
compelir,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
compenetrado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
competência,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
competente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
competitivo,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
compincha,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
complacência,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
complacente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
complexado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
complicado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
complicar a vida a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
composto,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
comprado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
comprar gato por lebre,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
compreensão,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
compreensível,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
compreensivo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
comprometedor,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
comprometido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
compromissado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
compulsivo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
compungido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comuna,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
comunicativo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
conceituado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
conceituoso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
concertado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
conciliador,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
conciso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
concordante,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
concreto,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
concupiscente,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
condenado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
condenar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
condenável,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
condescendência,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
condescendente,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
condicionado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
condoído,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
condoreiro,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
confiado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
confiança,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
confiante,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
confiar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=1,ANOT=MAN
confiável,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
confinado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
conflituosidade,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
conflituoso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
conformado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
conformar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
conformista,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
confortador,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
confortante,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
confortável,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
confrangedor,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
confranger-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
confrontar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
confundido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
confundir alhos com bugalhos,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
confundir-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
confundir,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
confusão,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
confuso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
congelado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
congestão,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
congestionado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
congratular,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=1,ANOT=MAN
congruência,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
congruente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
conhecedor,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
conivente,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
conluiado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
conquistador,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
conquistar terreno a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
conquistar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=0,ANOT=MAN
consagrado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
consciência,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
consciencial,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
consciencioso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
consciente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cônscio,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
conseguir um grande feito,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
consentâneo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
consequente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
consertado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
conservado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
conservador,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
considerativo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
consistente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
consolado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
conspicuidade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
conspícuo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
conspiração,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
conspirador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
conspirativo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
conspurcar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
constante,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
consternação,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
consternado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
consternador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
consternar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
constipado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
constitutivo,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
constrangedor,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
constranger,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
constrangido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
constrangimento,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
construtivo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
consumado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
consumido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
consumir-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
consumista,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contactável,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
contagiado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contagioso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contaminar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=-1,ANOT=MAN
contemplador,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
contemplativo,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
contemporizador,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
contemporizante,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
contendedor,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contendente,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contentar-se com pouco,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
contestado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contestar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
contido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contingente,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contorcer-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contracto,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contradizer-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contraído,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contrair-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contranaturo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contrapor,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
contrariado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contrariar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
contribuidor,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
contristação,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contristado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contrito,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
controlado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
controlador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
controlar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
controvérsia,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
controverso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
controvertido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contumaz,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contundência,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contundente,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
contundido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
contuso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
convencido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
conversa fiada,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
conversadeiro,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
conversador,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
convertido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
convicção,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
convicto,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
convidativo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
convincente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
convivente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
convulsivo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
cooperador,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cooperante,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cooperativista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
coquete,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
corado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
coragem,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
corajoso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
corcovado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
corcunda,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cordato,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cordeiro,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
cordial,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cordialidade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cornudo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cornuto,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
corporativista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
corpulento,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
correção,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
correcção,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
correcto,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
correr a toque de caixa,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
correto,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
corrido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
corrigir,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
corriqueiro,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
corroer-se,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=-1,ANOT=MAN
corroer,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
corromper,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=-1,ANOT=MAN
corrompido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
corrosivo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
corrupção,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
corruptível,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
corruptivo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
corrupto,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
corruptor,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cortado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
cortar na casaca de,IDIOM,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
cortar o pio a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
cortejado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
cortês,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cortesão,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cortesia,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
coruja,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
coscuvilheiro,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
cósmico,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
cosmopolita,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cosmopolítico,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cotado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
covarde,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
covardia,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
coveiro,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
coxo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crápula,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crapuloso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
craque,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
crasso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
credibilidade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
credível,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
crédulo,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
crente,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
crescido,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
crescidote,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
cretinice,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cretinismo,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cretino,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cretinóide,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
criacionista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
criancice,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
criatividade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
criativo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
criminalidade,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
criminoso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crisólogo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
crisóstomo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
crispação,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crispado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crispar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crispar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
cristalino,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
cristão,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
criterioso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
criticar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
criticável,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crítico,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
crivado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
crível,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cromo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crônico,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
cru,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crucial,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
crucificador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crucificar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
cruel,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crueldade ,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
crueza,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cruzar os braços,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cuidado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cuidadoso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
culpa,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
culpabilizar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
culpado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
culpar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
culpas,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
culposo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
cultivado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
culto,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cultura democrática,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
cúmplice,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
cumpridor,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
curado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
curativo,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
curial,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
curioso,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
curtido,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
curto de vistas,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
curto,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
curvado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
curvar-se,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=1,ANOT=MAN
curvilíneo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
curvo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
cuspido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
custoso,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
dadivoso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
dado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
daltónico,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
danado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
danificado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
danoso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
dar à língua,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar à sola,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar à soleta,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar a volta ao miolo,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar alegrias a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=0,ANOT=MAN
dar ao pé,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar bandeira,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar barraca,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar cabo da vida a,IDIOM,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
dar cabo de,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar com a boca no trombone,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar com a língua nos dentes,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar com os burros na água,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar com os pés a,IDIOM,TG=HUM:N0:N1,POL:N0=-1,POL:N1=-1,ANOT=MAN
dar conta do recado,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
dar de frosques,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar graxa a,IDIOM,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
dar no duro,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
dar o corpo ao manifesto,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar o dito por não dito,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar o golpe a,IDIOM,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
dar o golpe do baú,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar o litro,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
dar o primeiro passo,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
dar palmadinhas nas costas a,IDIOM,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
dar pontapés na gramática,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar tiros nos pés,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar um baile a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar um banho a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar um banho de cultura a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar um pontapé no cu a,IDIOM,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
dar um show de bola,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
dar um tiro no pé,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
dar uma banhada a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar uma coça a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar uma lição a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar uma lição de moral a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar uma malha a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
dar uma mãozinha a,IDIOM,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
